;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22
Router 1;;0,000;1970,326;816,204;-116,301;3051,526;-271,341;1021,645;233,534;77,445;506,164;1870,324;-147,410;633,184;1,069;-189,145;-136,853;244,803;-10,275;-81,849;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;4073,171;112,134;2011,021;-189,579;10297,232;123,535;1976,813;1972,403;1584,481;78,664;521,234;4492,446;2028,695;10,642;172,531;2714,777;1962,588;0,000;0,000
Router 4;;;;;2,073;784,673;12910,136;9305,477;13663,007;21920,378;13829,266;1945,829;4331,503;7876,578;12148,045;5164,735;1688,559;793,190;8416,532;5001,519;0,000;0,000
Router 5;;;;;;-81,661;3113,921;97,638;835,772;170,286;529,502;93,872;2148,716;797,321;2152,687;149,427;56,814;571,452;1141,179;707,812;0,000;0,000
Router 6;;;;;;;1404,366;1001,883;301,956;-87,667;424,706;3473,426;1494,866;2081,649;688,155;274,065;57,950;1618,638;619,434;418,115;0,000;0,000
Router 7;;;;;;;;1016,357;1493,201;552,263;1900,360;7199,853;19841,800;20133,753;13579,259;499,373;1956,213;1658,725;9203,643;919,198;0,000;0,000
Router 8;;;;;;;;;1109,964;2847,072;2021,843;498,708;134,912;818,948;5360,650;2504,297;81,610;-87,095;2936,631;2006,616;0,000;0,000
Router 9;;;;;;;;;;7838,737;1222,513;235,918;18,227;1493,004;6721,428;680,839;330,594;317,862;3782,113;600,333;0,000;0,000
Router 10;;;;;;;;;;;609,615;53,012;9,793;498,762;23357,861;9515,125;683,839;-236,727;14400,544;8458,765;0,000;0,000
Router 11;;;;;;;;;;;;675,159;810,275;779,465;-239,265;-195,055;-63,836;-66,895;-15,765;-335,395;0,000;0,000
Router 12;;;;;;;;;;;;;5178,154;13972,197;4748,013;-8,511;195,991;3241,249;3511,538;985,090;0,000;0,000
Router 13;;;;;;;;;;;;;;11047,355;14373,338;744,718;1932,966;-124,247;9536,983;605,577;0,000;0,000
Router 14;;;;;;;;;;;;;;;10295,226;-133,417;281,915;6063,969;7339,555;2381,572;0,000;0,000
Router 15;;;;;;;;;;;;;;;;898,626;928,237;-287,416;27588,407;-179,023;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;23,249;79,921;75,432;9607,157;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;28,480;-92,120;-20,799;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;-90,126;2560,290;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;-189,317;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;
