;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22
Router 1;;0,000;1922,365;1101,494;-2,180;3038,294;7,607;960,552;355,200;165,142;526,807;1892,662;-10,429;722,402;-132,409;48,512;36,585;220,297;-68,431;63,241;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;4129,875;16,106;1919,156;-8,439;10094,848;88,100;1982,754;1841,023;1522,322;272,393;762,073;4620,223;1986,569;113,644;227,791;2957,802;1922,446;0,000;0,000
Router 4;;;;;184,082;1076,442;12719,886;9013,922;13651,925;21744,620;13862,704;2439,711;4380,668;7835,781;12417,045;5565,358;1646,896;1103,471;8580,498;5467,997;0,000;0,000
Router 5;;;;;;-15,612;3170,842;99,683;930,325;150,636;559,451;187,913;2287,340;900,743;2230,587;55,751;104,852;600,938;1156,858;570,191;0,000;0,000
Router 6;;;;;;;1679,985;931,410;399,604;177,348;531,947;3583,830;1634,773;2305,339;787,667;481,073;158,324;1630,725;736,360;501,014;0,000;0,000
Router 7;;;;;;;;1165,848;1610,952;700,383;2141,457;7387,905;19275,030;19719,136;13533,777;546,258;1856,725;1760,336;9195,532;1037,761;0,000;0,000
Router 8;;;;;;;;;970,398;2732,046;1883,242;659,150;361,229;1017,874;5457,181;2354,512;191,483;-43,940;3144,166;1936,790;0,000;0,000
Router 9;;;;;;;;;;8071,985;1254,499;223,179;33,560;1428,117;6910,495;901,539;310,237;420,874;3659,321;868,726;0,000;0,000
Router 10;;;;;;;;;;;737,362;405,651;52,847;811,610;23391,821;9659,218;640,182;27,129;14368,875;8521,764;0,000;0,000
Router 11;;;;;;;;;;;;758,950;1006,550;1116,448;7,916;-0,762;-16,688;-40,052;-1,917;58,713;0,000;0,000
Router 12;;;;;;;;;;;;;5076,000;13998,132;4700,802;60,626;164,578;3353,817;3441,179;1117,907;0,000;0,000
Router 13;;;;;;;;;;;;;;10833,128;14101,178;667,830;1882,178;-9,548;9372,348;640,554;0,000;0,000
Router 14;;;;;;;;;;;;;;;10358,675;137,894;215,431;6079,263;7222,185;2574,416;0,000;0,000
Router 15;;;;;;;;;;;;;;;;1279,330;920,623;-62,934;27167,272;269,801;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;-13,265;142,078;442,340;9423,557;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;-23,175;-38,501;-44,741;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;-42,512;2629,565;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;26,426;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;
