;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22
Router 1;;0,000;2031,087;951,570;-13,596;3070,786;-18,110;1091,022;307,091;94,586;486,783;1996,041;-24,448;779,550;-3,778;-52,044;-57,605;326,932;-59,329;-10,719;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;4164,000;5,884;2004,178;-57,561;10325,617;52,162;2043,401;1960,385;1608,907;224,049;735,035;4701,269;2040,386;39,872;284,044;2954,737;1970,023;0,000;0,000
Router 4;;;;;133,604;1012,794;13211,850;9271,234;13864,422;22142,661;14180,644;2295,815;4412,410;8091,729;12437,790;5677,850;1706,986;1134,653;8484,687;5508,461;0,000;0,000
Router 5;;;;;;4,889;3120,235;71,763;956,446;155,010;466,144;140,307;2236,178;913,225;2206,336;84,966;90,308;608,791;1109,357;574,008;0,000;0,000
Router 6;;;;;;;1651,136;1077,428;332,808;74,611;423,686;3537,137;1640,392;2271,950;845,985;397,605;72,564;1705,380;675,340;430,422;0,000;0,000
Router 7;;;;;;;;1226,412;1716,098;679,315;2098,494;7449,715;19502,265;20191,296;13698,349;523,375;1887,533;1823,647;9150,299;1002,412;0,000;0,000
Router 8;;;;;;;;;1052,255;2718,826;2092,187;628,569;272,545;1043,203;5462,797;2409,797;112,277;118,117;3003,448;2048,458;0,000;0,000
Router 9;;;;;;;;;;8134,754;1245,571;325,602;88,190;1699,198;7075,105;870,646;293,569;502,773;3826,028;898,458;0,000;0,000
Router 10;;;;;;;;;;;781,954;232,838;-47,687;522,317;23620,664;9785,268;715,820;67,403;14477,877;8692,448;0,000;0,000
Router 11;;;;;;;;;;;;703,170;937,292;937,747;-15,010;16,383;-33,134;18,083;30,814;-96,796;0,000;0,000
Router 12;;;;;;;;;;;;;5171,641;14078,744;4764,062;49,308;129,898;3299,537;3482,696;990,755;0,000;0,000
Router 13;;;;;;;;;;;;;;10992,672;14180,343;658,770;1913,202;66,972;9309,084;583,847;0,000;0,000
Router 14;;;;;;;;;;;;;;;10420,073;82,785;227,980;6244,288;7142,191;2555,184;0,000;0,000
Router 15;;;;;;;;;;;;;;;;1149,441;984,835;29,865;27438,940;218,465;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;-10,236;222,846;369,825;9680,037;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;-20,806;33,030;-47,893;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;-43,860;2693,036;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;8,181;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;
