;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22
Router 1;;0,000;2045,744;957,964;-7,931;2926,755;27,014;982,450;377,671;-3,215;645,727;1963,501;96,084;1077,854;228,239;7,136;-67,400;130,578;12,012;-185,857;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;3989,035;-15,122;1857,822;221,358;10419,442;191,041;2114,818;1615,271;1661,504;91,976;871,268;4438,331;2180,778;199,922;30,857;2802,489;1928,308;0,000;0,000
Router 4;;;;;148,968;529,319;13043,861;9141,881;13608,911;22095,520;14024,647;1957,162;4530,859;8049,618;12742,607;5500,184;1889,786;967,426;8538,008;5036,123;0,000;0,000
Router 5;;;;;;-191,587;2928,823;-5,936;804,031;206,244;551,864;380,202;2333,971;937,142;2302,941;114,372;-53,818;709,153;1243,297;798,574;0,000;0,000
Router 6;;;;;;;1405,563;755,207;415,303;-292,075;260,084;3289,443;1637,541;2074,804;625,831;605,652;59,654;1580,735;318,342;449,898;0,000;0,000
Router 7;;;;;;;;1444,266;1349,608;1243,912;2311,826;7205,888;18965,062;19779,304;13520,914;709,177;2040,404;1864,248;8928,611;1389,935;0,000;0,000
Router 8;;;;;;;;;913,926;2520,676;1917,702;451,136;378,764;1269,462;5101,669;2610,029;208,862;-129,279;3069,467;1959,340;0,000;0,000
Router 9;;;;;;;;;;8140,871;1328,436;281,281;-279,670;1331,067;6592,926;739,087;352,932;442,981;3527,402;707,886;0,000;0,000
Router 10;;;;;;;;;;;1019,236;-32,944;166,979;779,538;23701,765;9602,386;445,577;-328,478;14133,590;8528,639;0,000;0,000
Router 11;;;;;;;;;;;;873,576;1020,380;873,982;286,551;-5,571;43,050;-237,663;-107,890;-398,683;0,000;0,000
Router 12;;;;;;;;;;;;;5181,574;13468,105;4204,150;162,084;-99,441;3096,378;3122,875;1011,582;0,000;0,000
Router 13;;;;;;;;;;;;;;10839,890;14112,390;694,481;1946,013;378,525;9363,987;454,969;0,000;0,000
Router 14;;;;;;;;;;;;;;;10444,245;300,661;469,526;6037,077;7126,043;2975,722;0,000;0,000
Router 15;;;;;;;;;;;;;;;;879,768;1090,788;-85,811;27126,177;236,979;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;108,002;14,610;101,666;9552,142;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;71,165;-181,976;181,180;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;-252,045;2418,370;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;-209,957;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;
