;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22
Router 1;;0,000;2003,891;734,664;27,670;3014,264;-201,852;956,076;361,296;-173,311;563,610;1817,502;-129,693;721,715;-430,662;8,843;-11,300;161,170;-435,835;-81,769;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;4132,379;-48,352;1901,186;12,184;10259,313;-68,140;1926,921;1624,116;1657,269;103,025;776,015;4209,054;2130,191;160,296;262,238;2794,318;1984,857;0,000;0,000
Router 4;;;;;-129,953;804,618;12971,577;8922,340;13786,919;22118,847;13780,522;2209,235;4647,977;7866,373;12577,677;5725,966;1677,885;1044,345;8476,532;5138,264;0,000;0,000
Router 5;;;;;;-4,654;2907,960;97,929;840,714;10,494;475,777;235,380;2211,476;874,321;2101,529;-31,485;-72,220;771,417;1010,094;414,377;0,000;0,000
Router 6;;;;;;;1518,534;978,033;386,072;219,789;332,910;3486,398;1685,420;2219,037;933,515;405,226;7,693;1542,064;750,425;399,755;0,000;0,000
Router 7;;;;;;;;1451,673;1649,752;562,235;2092,308;7413,563;19213,163;19875,059;13445,061;585,455;1689,394;2013,979;8953,582;1145,226;0,000;0,000
Router 8;;;;;;;;;1064,670;2609,231;1757,881;833,346;209,465;1234,922;5139,172;2509,687;134,394;134,611;3012,009;2162,138;0,000;0,000
Router 9;;;;;;;;;;8057,915;1329,154;226,088;57,589;1256,312;6635,032;891,828;356,620;469,560;3604,829;744,411;0,000;0,000
Router 10;;;;;;;;;;;873,909;236,249;-147,037;628,970;23429,525;9636,478;666,346;-40,553;14406,231;8570,270;0,000;0,000
Router 11;;;;;;;;;;;;788,436;888,574;901,070;117,168;43,721;-161,937;-24,015;39,169;-339,332;0,000;0,000
Router 12;;;;;;;;;;;;;5192,465;13721,257;4605,739;120,190;-25,288;3281,291;3467,038;1039,250;0,000;0,000
Router 13;;;;;;;;;;;;;;10987,721;14108,640;649,109;1695,987;254,504;9135,155;710,497;0,000;0,000
Router 14;;;;;;;;;;;;;;;10631,544;417,008;184,472;6455,284;7051,719;2954,348;0,000;0,000
Router 15;;;;;;;;;;;;;;;;1306,549;950,967;57,658;27022,268;614,498;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;123,468;179,716;312,261;9570,167;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;26,136;-119,232;239,171;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;151,736;2550,551;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;89,128;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;
