;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22
Router 1;;0,000;1902,378;1171,964;-17,845;2969,566;13,816;973,088;398,631;215,321;549,358;1928,437;-52,195;784,875;-164,520;31,665;26,098;237,161;-5,324;86,833;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;4033,534;-21,930;1868,099;-374,415;9721,031;214,127;1754,635;1873,061;1421,254;-12,715;500,885;4323,936;1485,502;44,036;236,178;2711,762;1580,277;0,000;0,000
Router 4;;;;;191,438;1216,624;13056,107;9104,051;13159,311;21251,135;13792,741;2474,196;4399,318;8312,424;11879,807;5501,732;1730,165;1124,857;8468,870;5656,123;0,000;0,000
Router 5;;;;;;-31,828;3123,940;81,300;886,615;202,007;467,956;199,746;2194,633;973,484;2383,572;12,894;82,605;651,771;1141,872;491,424;0,000;0,000
Router 6;;;;;;;1519,007;844,491;497,562;253,606;540,072;3558,711;1456,928;2224,455;510,438;504,253;128,356;1610,638;653,700;576,482;0,000;0,000
Router 7;;;;;;;;908,921;1522,406;1383,619;2054,078;6773,198;18477,665;18990,643;12989,033;553,038;1662,980;1489,317;9107,357;1180,775;0,000;0,000
Router 8;;;;;;;;;1228,849;2966,467;1971,766;537,163;61,207;780,820;5581,213;2052,512;188,034;46,884;3090,182;1790,803;0,000;0,000
Router 9;;;;;;;;;;7433,336;1193,982;203,574;54,959;1444,852;6260,019;974,818;430,825;470,834;3203,541;980,093;0,000;0,000
Router 10;;;;;;;;;;;714,056;436,821;195,924;1253,316;22961,734;9131,762;746,701;25,008;14094,691;8212,672;0,000;0,000
Router 11;;;;;;;;;;;;776,610;1046,068;1120,545;-106,283;175,187;46,880;73,139;207,446;199,533;0,000;0,000
Router 12;;;;;;;;;;;;;4410,235;13101,486;4360,802;66,831;146,310;3277,048;3360,471;1197,336;0,000;0,000
Router 13;;;;;;;;;;;;;;10193,037;13236,582;605,424;1752,369;-157,422;8848,587;634,884;0,000;0,000
Router 14;;;;;;;;;;;;;;;10242,162;99,587;127,303;5897,817;7234,632;2673,929;0,000;0,000
Router 15;;;;;;;;;;;;;;;;1061,036;884,815;103,735;26843,326;384,796;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;-53,380;172,162;291,197;8857,637;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;-55,752;-86,689;-46,448;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;141,614;2659,340;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;60,788;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;
