;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22
Router 1;;0,000;1915,000;1063,835;8,177;2984,957;5,940;972,196;407,852;190,163;489,711;1941,575;3,854;791,950;18,223;-19,179;8,004;253,639;31,056;-4,096;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;4024,001;-0,962;1894,471;-52,983;10049,113;125,088;1973,595;1822,373;1497,649;230,336;657,777;4626,488;1818,200;112,388;209,559;2909,082;1857,009;0,000;0,000
Router 4;;;;;196,914;1053,306;12835,412;8916,556;13181,969;21376,795;13725,542;2293,982;4210,564;7990,435;12271,679;5375,674;1707,569;1091,402;8348,359;5274,652;0,000;0,000
Router 5;;;;;;-10,271;3132,810;80,675;925,031;148,714;540,108;150,507;2258,581;875,632;2242,726;-2,798;74,334;591,961;1145,787;537,398;0,000;0,000
Router 6;;;;;;;1632,097;923,116;381,199;158,344;507,426;3482,641;1591,422;2283,344;795,461;438,229;135,648;1596,318;710,222;446,824;0,000;0,000
Router 7;;;;;;;;1158,065;1556,207;684,095;1981,105;6977,909;19068,524;19683,431;13481,750;439,422;1829,150;1768,783;9137,208;947,961;0,000;0,000
Router 8;;;;;;;;;1044,583;2706,803;1889,652;604,530;245,818;928,987;5420,460;2212,931;197,286;-38,574;3005,045;1836,717;0,000;0,000
Router 9;;;;;;;;;;7638,335;1271,790;226,947;12,740;1493,051;6579,283;848,150;316,554;475,036;3439,783;843,765;0,000;0,000
Router 10;;;;;;;;;;;662,870;234,386;-48,726;736,938;23224,985;9429,916;682,404;128,664;14173,992;8445,298;0,000;0,000
Router 11;;;;;;;;;;;;766,920;873,570;939,031;-103,536;17,774;25,089;-20,309;-73,619;-35,122;0,000;0,000
Router 12;;;;;;;;;;;;;4797,838;13426,918;4581,930;-2,341;140,851;3298,992;3354,167;1013,096;0,000;0,000
Router 13;;;;;;;;;;;;;;10613,666;13888,210;524,712;1827,472;30,987;9167,330;519,701;0,000;0,000
Router 14;;;;;;;;;;;;;;;10444,486;74,432;248,826;6059,526;7301,751;2549,950;0,000;0,000
Router 15;;;;;;;;;;;;;;;;1174,928;944,795;136,799;26988,241;275,567;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;9,917;190,990;375,016;9221,586;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;-18,658;-23,428;-20,099;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;109,039;2606,224;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;29,202;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;
