;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22
Router 1;;0,000;1884,009;1106,202;-17,845;2969,566;25,046;977,127;414,045;172,958;526,973;1946,296;-0,372;771,732;-158,554;30,952;26,098;237,161;-63,706;49,342;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;3979,796;-19,335;1828,499;-205,654;9996,125;240,206;1972,699;1846,402;1415,173;74,127;440,882;4499,098;1753,910;59,589;204,875;2771,378;1767,459;0,000;0,000
Router 4;;;;;165,137;1099,300;13350,626;8885,988;13211,154;21698,586;13684,536;2477,318;4635,651;8319,232;12227,449;5567,111;1732,401;962,489;8390,827;5511,756;0,000;0,000
Router 5;;;;;;-31,828;3112,542;97,613;927,551;319,442;442,936;228,842;2195,311;1004,174;2385,244;15,703;82,605;651,771;1170,810;504,357;0,000;0,000
Router 6;;;;;;;1482,326;885,923;530,050;227,491;509,728;3553,608;1501,970;2257,631;424,582;477,166;128,356;1610,638;566,564;548,842;0,000;0,000
Router 7;;;;;;;;1022,912;1562,959;1217,609;1982,601;6996,634;18820,743;19406,278;13258,530;552,559;1755,263;1519,841;8964,252;1102,111;0,000;0,000
Router 8;;;;;;;;;1076,163;2815,457;1875,977;684,209;140,945;1053,862;5301,459;2166,982;185,813;28,859;3018,191;1798,688;0,000;0,000
Router 9;;;;;;;;;;7395,178;1146,934;300,333;74,023;1316,782;6182,626;960,440;407,422;539,476;3181,381;900,239;0,000;0,000
Router 10;;;;;;;;;;;569,613;602,184;491,199;1087,687;23319,751;9589,813;734,813;68,344;14160,892;8524,938;0,000;0,000
Router 11;;;;;;;;;;;;820,235;999,480;1117,734;-123,280;48,770;35,432;28,941;-0,050;73,827;0,000;0,000
Router 12;;;;;;;;;;;;;4535,173;13259,573;4517,325;107,932;131,306;3282,655;3363,894;1159,087;0,000;0,000
Router 13;;;;;;;;;;;;;;10554,644;13794,003;612,502;1762,260;-135,124;9090,587;616,776;0,000;0,000
Router 14;;;;;;;;;;;;;;;10633,004;112,848;151,069;5879,333;7260,587;2593,230;0,000;0,000
Router 15;;;;;;;;;;;;;;;;1180,843;874,633;71,279;26892,993;463,344;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;-21,578;147,166;291,907;9185,289;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;-55,752;-63,050;-56,767;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;162,241;2624,778;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;43,561;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;
