;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22
Router 1;;0,000;1965,796;865,367;-101,366;2989,930;-832,395;1135,372;121,204;240,886;457,877;1684,062;-507,103;255,454;-41,916;-242,560;-391,550;117,779;-196,445;52,531;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;3664,246;-171,164;1759,598;-677,175;10306,540;-81,175;1909,215;1949,088;1288,371;-29,218;359,734;4421,943;1693,623;-231,090;292,129;2657,573;1790,693;0,000;0,000
Router 4;;;;;-238,781;680,983;12403,096;8507,107;13266,995;21524,038;13249,765;1693,824;4092,143;7221,327;11536,764;4847,774;1069,228;539,194;8445,048;4540,897;0,000;0,000
Router 5;;;;;;-192,746;2675,701;-224,489;744,295;83,965;613,964;-205,325;1866,718;364,173;2256,784;-56,053;25,131;542,336;1160,267;615,138;0,000;0,000
Router 6;;;;;;;1105,055;809,060;154,951;-475,216;196,881;3285,286;1297,843;1785,829;402,526;116,956;-306,613;1329,127;219,061;238,203;0,000;0,000
Router 7;;;;;;;;605,595;1227,118;-179,092;1645,432;6673,103;19500,831;19558,190;13523,888;352,122;1854,446;1512,091;9222,600;803,090;0,000;0,000
Router 8;;;;;;;;;768,787;2166,026;1833,634;367,231;-302,894;474,580;4758,586;2409,094;-147,199;-160,494;2384,325;1727,983;0,000;0,000
Router 9;;;;;;;;;;7455,383;816,231;-206,213;83,345;836,191;5976,582;463,876;149,490;189,262;3422,338;370,794;0,000;0,000
Router 10;;;;;;;;;;;4,483;-228,847;-880,890;-371,484;22911,430;9178,075;208,243;-672,387;13744,129;7906,396;0,000;0,000
Router 11;;;;;;;;;;;;426,547;888,307;348,519;-775,366;-741,102;-325,805;-437,990;-370,206;-1029,882;0,000;0,000
Router 12;;;;;;;;;;;;;4928,908;13693,347;4711,756;-211,287;255,291;3274,324;3515,904;665,472;0,000;0,000
Router 13;;;;;;;;;;;;;;10768,990;14105,813;819,576;1866,598;-167,187;9155,411;443,042;0,000;0,000
Router 14;;;;;;;;;;;;;;;10172,694;-359,262;255,674;5754,655;7089,756;2230,001;0,000;0,000
Router 15;;;;;;;;;;;;;;;;442,004;681,230;-324,391;27597,596;-284,965;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;-92,591;-240,549;-195,087;9621,818;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;122,863;-209,220;-83,148;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;-121,508;2168,096;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;-284,601;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;
