;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22
Router 1;;0,000;1926,016;1175,559;-17,845;2964,147;39,541;990,805;399,595;130,148;531,765;1957,571;4,091;779,720;-154,299;41,253;26,098;221,019;-95,034;40,705;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;3942,654;-26,463;1911,128;-134,251;10048,393;104,404;1919,472;1837,635;1514,251;150,597;713,968;4508,916;1894,891;88,079;227,254;2817,547;1944,868;0,000;0,000
Router 4;;;;;162,206;1133,694;13052,521;9083,258;13375,777;21607,886;13695,791;2524,216;4666,505;8269,829;12505,849;5607,671;1707,245;1113,540;8513,128;5548,948;0,000;0,000
Router 5;;;;;;-46,020;3189,737;108,517;928,196;209,809;517,253;192,283;2272,943;960,550;2446,465;34,459;82,605;650,734;1157,490;524,915;0,000;0,000
Router 6;;;;;;;1584,148;921,540;421,012;191,636;544,127;3599,013;1538,501;2318,828;704,420;471,558;139,239;1641,540;653,881;465,382;0,000;0,000
Router 7;;;;;;;;1174,868;1557,446;1173,821;2128,959;7166,943;19097,295;19686,716;13512,402;632,489;1738,772;1663,518;9231,252;1182,793;0,000;0,000
Router 8;;;;;;;;;1121,995;2815,401;1941,152;667,253;251,514;1032,072;5327,479;2407,533;164,881;9,723;3044,837;1991,303;0,000;0,000
Router 9;;;;;;;;;;7765,243;1233,650;217,721;142,196;1416,070;6490,363;931,118;421,067;495,459;3458,797;924,812;0,000;0,000
Router 10;;;;;;;;;;;553,128;478,730;235,521;1077,228;23375,435;9574,997;699,354;158,142;14318,706;8444,241;0,000;0,000
Router 11;;;;;;;;;;;;880,148;1116,815;1060,121;-129,456;22,410;17,342;24,856;-51,094;8,069;0,000;0,000
Router 12;;;;;;;;;;;;;4912,564;13736,687;4611,452;93,916;93,732;3330,156;3487,120;1168,939;0,000;0,000
Router 13;;;;;;;;;;;;;;10856,883;13997,072;649,490;1849,200;-34,310;9295,263;625,583;0,000;0,000
Router 14;;;;;;;;;;;;;;;10509,377;132,616;158,346;6024,625;7453,079;2700,097;0,000;0,000
Router 15;;;;;;;;;;;;;;;;1230,544;827,605;131,024;27110,996;360,485;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;-19,781;167,221;457,568;9269,762;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;-47,043;-135,049;-41,348;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;217,785;2694,064;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;81,179;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;
