;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22
Router 1;;0,000;2056,960;698,979;5,736;3069,183;-152,951;1039,694;318,323;4,800;556,723;1910,095;-126,627;792,479;-271,508;12,899;-65,767;261,940;-206,971;-12,534;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;4224,713;82,280;1884,320;169,040;10316,770;134,342;2114,572;1823,738;1653,735;394,994;897,347;4657,710;2050,165;124,900;187,906;2986,011;2165,238;0,000;0,000
Router 4;;;;;43,795;832,409;12865,021;9313,367;13650,681;22132,778;13920,148;2193,810;4283,293;7854,570;12173,142;5545,283;1777,341;888,313;8465,559;5370,055;0,000;0,000
Router 5;;;;;;3,786;3072,044;144,403;958,432;174,338;537,009;221,865;2177,081;963,005;2280,297;-12,175;10,681;783,830;1078,245;603,230;0,000;0,000
Router 6;;;;;;;1534,213;857,429;452,326;285,511;431,124;3409,936;1740,225;2167,322;830,218;570,014;81,293;1661,107;804,015;562,774;0,000;0,000
Router 7;;;;;;;;1525,351;1676,380;1016,135;2327,102;7400,551;19139,850;19863,523;13602,828;724,810;1897,506;1970,086;8927,074;1222,783;0,000;0,000
Router 8;;;;;;;;;1154,708;2725,347;1839,564;697,759;473,020;1156,511;5326,412;2408,759;192,974;27,658;3094,005;2062,003;0,000;0,000
Router 9;;;;;;;;;;8255,214;1215,806;119,652;52,703;1352,853;6874,074;1020,430;413,153;398,934;3694,157;883,343;0,000;0,000
Router 10;;;;;;;;;;;1109,593;168,146;125,031;841,962;23307,572;9729,514;658,882;-39,060;14417,054;8654,447;0,000;0,000
Router 11;;;;;;;;;;;;1022,455;915,757;1221,740;275,539;17,533;43,655;-59,888;151,620;-13,926;0,000;0,000
Router 12;;;;;;;;;;;;;5111,375;13738,943;4583,737;64,631;187,898;3355,545;3366,355;1040,093;0,000;0,000
Router 13;;;;;;;;;;;;;;10765,056;13955,264;661,882;1802,151;175,886;9183,516;693,087;0,000;0,000
Router 14;;;;;;;;;;;;;;;10436,890;169,317;249,350;6247,751;7042,603;2774,124;0,000;0,000
Router 15;;;;;;;;;;;;;;;;1354,703;923,406;30,875;27126,432;461,191;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;28,184;233,587;487,612;9601,369;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;4,827;121,433;85,327;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;-6,702;2706,928;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;212,833;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;
