;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22
Router 1;;0,000;2036,517;1018,247;-15,771;3062,812;-5,533;1033,890;336,870;282,861;501,511;1900,868;20,696;815,255;11,740;17,793;-12,096;280,111;-5,496;40,815;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;4212,896;15,409;1973,000;161,960;10274,782;204,408;2071,272;1926,395;1630,896;368,061;863,598;4699,493;2028,435;135,923;258,135;2985,317;1975,467;0,000;0,000
Router 4;;;;;205,711;908,732;13084,317;9195,954;13787,723;22081,408;14089,356;2262,053;4388,909;8036,498;12485,009;5731,962;1754,642;1047,786;8676,209;5543,028;0,000;0,000
Router 5;;;;;;-14,194;3091,633;80,832;995,644;289,515;569,080;144,638;2225,194;843,395;2178,038;65,423;28,023;603,540;1063,115;585,661;0,000;0,000
Router 6;;;;;;;1580,894;1004,323;323,486;164,569;411,968;3439,864;1700,884;2181,054;819,189;451,812;92,483;1620,429;779,226;497,444;0,000;0,000
Router 7;;;;;;;;1297,288;1712,243;851,241;2136,938;7332,916;19349,698;19925,184;13654,080;687,153;1862,157;1741,536;9053,838;1098,556;0,000;0,000
Router 8;;;;;;;;;1046,710;2627,358;2069,853;685,497;335,726;1053,387;5329,571;2455,334;174,023;37,300;3036,099;1957,675;0,000;0,000
Router 9;;;;;;;;;;8153,749;1237,970;221,470;137,412;1532,888;7154,816;929,008;416,561;468,680;3863,938;915,802;0,000;0,000
Router 10;;;;;;;;;;;931,729;277,269;4,265;803,869;23518,388;9724,005;698,345;40,088;14423,501;8620,643;0,000;0,000
Router 11;;;;;;;;;;;;782,701;936,228;1091,693;171,059;32,649;-34,780;-55,564;74,826;-53,376;0,000;0,000
Router 12;;;;;;;;;;;;;5137,405;13940,342;4741,850;74,956;156,349;3221,825;3435,491;982,106;0,000;0,000
Router 13;;;;;;;;;;;;;;10864,815;14116,584;675,267;1899,900;84,365;9325,585;602,907;0,000;0,000
Router 14;;;;;;;;;;;;;;;10463,574;235,956;257,198;6070,137;7132,042;2629,315;0,000;0,000
Router 15;;;;;;;;;;;;;;;;1229,266;917,869;24,217;27174,835;238,828;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;29,845;178,106;420,420;9606,236;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;23,293;-15,685;49,923;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;-65,602;2641,982;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;4,544;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;
