;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22
Router 1;;0,000;1961,808;928,456;-83,681;3004,607;-418,327;1141,546;149,327;154,238;560,527;1757,966;-225,781;330,059;-253,200;-195,342;-189,849;176,452;-65,711;23,133;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;4058,252;-156,929;1800,646;-341,256;10310,246;41,021;2011,147;1924,116;1399,808;-123,924;583,504;4243,307;1966,883;-95,646;90,350;2742,262;2042,030;0,000;0,000
Router 4;;;;;-400,452;674,050;13022,964;9329,529;13531,997;21851,988;13839,398;2007,956;4147,344;7775,962;11911,014;5157,257;1430,318;623,957;8379,024;5192,365;0,000;0,000
Router 5;;;;;;-152,746;3102,156;-204,076;878,263;84,357;401,590;-30,872;2144,317;684,110;1982,559;67,666;16,040;666,813;976,052;607,435;0,000;0,000
Router 6;;;;;;;1269,368;841,565;-56,525;-120,699;357,888;3394,088;1451,061;2126,045;812,750;140,949;-38,695;1603,982;594,237;308,705;0,000;0,000
Router 7;;;;;;;;819,597;1318,138;295,150;1901,155;6983,015;19782,640;20150,897;13658,074;546,405;1686,037;1559,917;9226,422;969,885;0,000;0,000
Router 8;;;;;;;;;830,696;2750,556;1964,296;524,979;76,909;836,269;5071,054;2458,796;67,364;34,407;2817,229;2139,327;0,000;0,000
Router 9;;;;;;;;;;7561,183;1095,983;-83,286;-300,454;1023,895;6642,420;581,672;173,496;252,266;3610,091;325,508;0,000;0,000
Router 10;;;;;;;;;;;573,294;-77,871;-362,759;114,027;23117,162;9365,975;612,601;-269,182;14264,081;8275,466;0,000;0,000
Router 11;;;;;;;;;;;;580,242;788,808;572,179;-323,049;-478,742;-308,832;-228,223;-267,545;-457,907;0,000;0,000
Router 12;;;;;;;;;;;;;4989,396;14041,707;4504,093;-213,408;281,553;3207,908;3308,196;865,301;0,000;0,000
Router 13;;;;;;;;;;;;;;11011,406;14209,027;594,894;1910,421;-209,793;9294,389;408,969;0,000;0,000
Router 14;;;;;;;;;;;;;;;10210,476;-245,501;18,376;5834,110;7064,307;2451,670;0,000;0,000
Router 15;;;;;;;;;;;;;;;;855,007;658,982;-461,181;27561,901;-248,981;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;-77,392;36,068;228,729;9563,106;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;47,701;-52,749;-128,975;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;-163,426;2587,637;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;-228,337;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;
