391.02407869527053: [{5=9}]
332.34518309933276: [{9=10}]
292.494854669896: [{6=8}]
254.7525761665715: [{5=10}]
243.0256204678713: [{3=5}]
185.23222927042744: [{2=5}]
180.92409100766838: [{8=9}]
169.12076819079567: [{4=6}]
163.39224118183023: [{2=3}]
160.01563150095046: [{2=4}]
144.7314731648938: [{6=7}]
142.69019269628336: [{2=6}]
138.86318585854468: [{3=9}]
129.64003652175506: [{7=8}]
126.89500379866993: [{4=8}]
125.05048779471473: [{2=9}]
112.54746207655597: [{3=10}]
108.36292784559146: [{5=8}]
95.47492764051145: [{2=8}]
90.05463450164547: [{2=10}]
79.34756186820871: [{8=10}]
72.48501841363769: [{6=9}]
65.8918424075645: [{5=6}]
65.80244614817164: [{2=7}]
62.51498245208345: [{4=7}]
58.92272113228843: [{7=10}]
53.477294323424786: [{6=10}]
39.251935918692816: [{7=11}]
37.77738848529059: [{3=6}]
31.567125842760746: [{7=9}]
28.51449451696667: [{10=11}]
13.100459807844146: [{5=7}]
8.066671729342865: [{6=11}]
3.3587431075832797: [{3=7}]
2.883564389698428: [{8=11}]
0.0: [{1=2}, {1=3}, {1=4}, {1=5}, {1=6}, {1=7}, {1=8}, {1=9}, {1=10}, {1=11}]
-0.7041858179702345: [{3=8}]
-1.0639677484780563: [{4=11}]
-1.196668168195913: [{4=5}]
-11.249273343584385: [{2=11}]
-11.4381808514526: [{3=11}]
-12.005113134471195: [{4=9}]
-22.890083000870966: [{4=10}]
-25.857053510099405: [{9=11}]
-27.68229621588103: [{3=4}]
-34.46816232253928: [{5=11}]
