400.49804880442895: [{5=9}]
315.93076453776837: [{9=10}]
263.01900862164: [{6=8}]
260.5242687708765: [{3=5}]
257.15969296890745: [{5=10}]
182.6236462473387: [{8=9}]
169.86284546469642: [{4=6}]
164.97062662499607: [{2=5}]
162.46743468749474: [{3=9}]
157.35707159140134: [{2=3}]
156.51606617320633: [{7=8}]
151.4128050375158: [{2=4}]
145.32702300068757: [{6=7}]
137.67520679207198: [{2=6}]
117.59260396823109: [{3=10}]
114.74758618337847: [{2=9}]
108.92295755651494: [{4=8}]
102.03641097494393: [{2=8}]
93.53444413380959: [{5=8}]
85.35204962979552: [{2=10}]
83.15749667840905: [{2=7}]
74.70357418090845: [{6=9}]
64.8028761254323: [{4=7}]
60.980671475961756: [{5=6}]
59.924800155407944: [{7=11}]
57.69489017570484: [{6=10}]
55.45553429477393: [{10=11}]
52.78256538789505: [{8=10}]
48.059685444140506: [{7=10}]
22.393194952474662: [{6=11}]
19.26685238087345: [{5=7}]
16.49074687594765: [{7=9}]
10.479751226686453: [{4=5}]
8.923635348140209: [{4=9}]
8.411780335979003: [{4=10}]
6.744989052130787: [{3=6}]
2.7566800128292392: [{3=7}]
1.4811017844600656: [{3=8}]
0.0: [{1=2}, {1=3}, {1=4}, {1=5}, {1=6}, {1=7}, {1=8}, {1=9}, {1=10}, {1=11}]
-0.3370162368116425: [{8=11}]
-2.7793107382463944: [{4=11}]
-3.0380537123497895: [{2=11}]
-10.912404714470402: [{3=11}]
-17.78348971668168: [{3=4}]
-19.759807484075683: [{9=11}]
-29.017917599335163: [{5=11}]
