25.26160542712023: [{21=30}]
24.86889639293622: [{17=22}]
24.45109916884212: [{18=23}]
24.29840299791249: [{7=19}]
23.351393966848264: [{38=40}]
21.98064343979604: [{17=18}]
15.514755911721295: [{21=38}]
14.759084787285246: [{22=28}]
14.611578461572208: [{19=22}]
11.785766422692177: [{8=19}]
10.296030250750846: [{22=37}]
9.493940805312377: [{16=22}]
2.4737262602993724: [{21=31}]
